CID,Isomeric SMILES
1759908,CC[C@@H](C)[C@@H](C(=O)O)NC(=O)CC1=C(C2=C(C(=C3C(=C2)C(=CO3)C)C)OC1=O)C
665699,CC1=CC=C(C=C1)N\2C(=O)C(S/C2=C(\C#N)/C(=O)NCC3=CC=CO3)CC4=CC=C(C=C4)OC
3755008,C1=CC=C2C(=C1)C3=C(C(C(=C(O3)N)C#N)C4=CC=NC=C4)C(=O)O2
3244200,CC(=O)NCCC1=CSC(=N1)C2=CC=CC=C2
1471105,C1=CC(=CC=C1C2=NC3=C(C=C(C=C3)Br)C(=O)N2O)[N+](=O)[O-]
6509614,CCNC(=O)/C(=C\C1=CC2=C(C=C1)OCO2)/NC(=O)C3=CC=C(C=C3)Br
2619178,CC1=CC(=C(C=C1)C)C(=O)COC(=O)CN2C(=O)C3=CC=CC=C3C(=O)N2
5389664,C1[C@@]23C=C[C@@H](O2)C([C@H]3C(=O)N1CC4=CC=CS4)C(=O)O
15990848,CCC(=O)N1CCC2=C1C=CC(=C2)S(=O)(=O)CCC(=O)N3CCN(CC3)C4=CC=CC=C4F
840860,C1C2CC3CC1CC(C2)C3=NNC(=O)C4=C(C=CC(=C4)Cl)O
9117005,CCN(CC(=O)NC1=C(C=CC(=C1)Cl)Cl)C(=O)C2=CC=C(C=C2)N3C=CC=N3
2204582,CC1=CC(=C(C=C1)NC(=O)NC2=C(C=C(C=C2)OC)OC)Br
2999821,CC(=O)N1CCN(CC1)CC(=O)NC2=C(C=CC=C2Cl)Cl.C(=O)(C(=O)O)O
16403647,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1OC2=CC3=C(C=C2)C4CC[C@]5(C(C4CC3)CCC5=O)C)CO)O)O
16017815,CN1C2=C(CS(=O)(=O)C3=CC=CC=C32)C(=N1)C(=O)NCC4=C(C=CC(=C4)OC)OC
24979431,CC(C(=O)NC1=CC=C(C=C1)N(C)C)OC(=O)C2=CC(=CC=C2)N3C=NN=N3
6463520,C1CCC(CC1)NC(=O)CCN2C(=O)C3CC=CCC3C2=O
16681823,CCCOC(=O)C[N+](C)(C)CCOC1CC2CCC1(C2(C)C)C.[Br-]
381837,CC1=CC=C(C=C1)S(=O)(=O)NNC(=O)NC2=CC=C(C=C2)Cl
4802979,CCCCN1C(=O)C2=CC=CC=C2C(=N1)C(=O)NC3=C(N(N(C3=O)C4=CC=CC=C4)C)C
135414020,C1C(CC(=O)C(=C1O)C=NCCC(=O)O)C2=CC=CC=C2
654863,C1CCC(C1)NC(=O)CN(CC2=CC=CS2)C(=O)CSC3=NN=C(O3)COC4=CC=CC=C4
874898,C1CCC(CC1)C(=O)NC2=CC=CC(=C2)C(F)(F)F
2999678,CC1=C(C(=CC=C1)N2CCN(CC2)C(=O)C34CC5CC(C3)CC(C5)C4)C
3224247,CC1=CC(=NC(=N1)N2CCCC(C2)C(=O)NCCC3=CC=C(C=C3)OC)C
17551569,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)CC(=O)NC(=O)NC3CCCCC3
