ID,Mol,Smiles,Source
CHEMBL1774370,<rdkit.Chem.rdchem.Mol object at 0x000002210943D4D0>,CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3c(n2)[C@](C)(CCC#N)OC3)cc1,mtor
CHEMBL1774378,<rdkit.Chem.rdchem.Mol object at 0x000002210943D540>,CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3c(n2)[C@@](C)(CO)OC3)cc1,mtor
CHEMBL1774379,<rdkit.Chem.rdchem.Mol object at 0x000002210943D5B0>,CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3c(n2)[C@](C)(CC(C)(C)O)OC3)cc1,mtor
CHEMBL1774381,<rdkit.Chem.rdchem.Mol object at 0x000002210943D620>,CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3c(n2)[C@@](C)(CC(C)(C)O)OC3)cc1,mtor
CHEMBL1774354,<rdkit.Chem.rdchem.Mol object at 0x000002210943D690>,CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3c(n2)C(C)(C)OC3=O)cc1,mtor
CHEMBL1241481,<rdkit.Chem.rdchem.Mol object at 0x000002210943D700>,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1NC(=O)OC(C)(C)C,mtor
CHEMBL1241355,<rdkit.Chem.rdchem.Mol object at 0x000002210943D770>,Nc1ncnc2[nH]nc(-c3ccccc3O)c12,mtor
CHEMBL1242569,<rdkit.Chem.rdchem.Mol object at 0x000002210943D7E0>,C=CCn1nc(-c2ccc(OCC)c(OC)c2)c2c(N)ncnc21,mtor
CHEMBL1241679,<rdkit.Chem.rdchem.Mol object at 0x000002210943D850>,CC(C)n1nc(-c2cccc(C#N)c2)c2c(N)ncnc21,mtor
CHEMBL1242287,<rdkit.Chem.rdchem.Mol object at 0x000002210943D8C0>,Nc1ncnc2c1c(-c1ccc(Br)c(O)c1)nn2C1CCC1,mtor
CHEMBL1241580,<rdkit.Chem.rdchem.Mol object at 0x000002210943D930>,Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2C1CCC1,mtor
CHEMBL1091708,<rdkit.Chem.rdchem.Mol object at 0x000002210943D9A0>,CN(C(=O)C1CCN(c2ccnc3c2c(/C=C2\Oc4ccc(NC(=O)Nc5cccnc5)cc4C2=O)cn3C)CC1)c1cccnc1,mtor
CHEMBL1091695,<rdkit.Chem.rdchem.Mol object at 0x000002210943DA10>,Cn1cc(/C=C2\Oc3ccc(NC(=O)Nc4cccnc4)cc3C2=O)c2c(N3CCC(C(=O)N4CCOCC4)CC3)ccnc21,mtor
CHEMBL1774358,<rdkit.Chem.rdchem.Mol object at 0x000002210943DA80>,C[C@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3cnn(C)c3)cc2)nc2c1COC2(C)C,mtor
CHEMBL1774365,<rdkit.Chem.rdchem.Mol object at 0x000002210943DAF0>,CCNC(=O)Nc1ccc(-c2nc(N3C[C@@H]4CC[C@H](C3)O4)c3c(n2)[C@](C)(CCO)OC3)cc1,mtor
CHEMBL1774379,<rdkit.Chem.rdchem.Mol object at 0x000002210943DB60>,CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3c(n2)[C@](C)(CC(C)(C)O)OC3)cc1,mtor
CHEMBL1774362,<rdkit.Chem.rdchem.Mol object at 0x000002210943DBD0>,CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3c(n2)[C@](C)(CC2CC2)OC3)cc1,mtor
CHEMBL1774360,<rdkit.Chem.rdchem.Mol object at 0x000002210943DC40>,C[C@H]1COCCN1c1nc(-c2ccc(Nc3cccc(=O)[nH]3)cc2)nc2c1COC2(C)C,mtor
CHEMBL1946131,<rdkit.Chem.rdchem.Mol object at 0x000002210943DCB0>,O=c1[nH]c2ncc(-c3ccc(-n4cccn4)cc3)nc2n1CC1CCOCC1,mtor
CHEMBL1946261,<rdkit.Chem.rdchem.Mol object at 0x000002210943DD20>,O=c1[nH]c2ncc(-c3ccc4[nH]cnc4c3)nc2n1CC1CCOCC1,mtor
CHEMBL1945492,<rdkit.Chem.rdchem.Mol object at 0x000002210943DD90>,COc1ccc(Cn2c(=O)[nH]c3ncc(-c4ccc(O)cc4)nc32)cc1,mtor
CHEMBL1946130,<rdkit.Chem.rdchem.Mol object at 0x000002210943DE00>,O=c1[nH]c2ncc(-c3ccc(-c4cn[nH]c4)cc3)nc2n1CC1CCCCC1,mtor
CHEMBL1946265,<rdkit.Chem.rdchem.Mol object at 0x000002210943DE70>,CNc1nc2cc(-c3cnc4[nH]c(=O)n(CC5CCOCC5)c4n3)ccc2[nH]1,mtor
CHEMBL1946266,<rdkit.Chem.rdchem.Mol object at 0x000002210943DEE0>,O=c1[nH]c2ncc(-c3ccc4[nH]ccc4c3)nc2n1CC1CCOCC1,mtor
CHEMBL1774366,<rdkit.Chem.rdchem.Mol object at 0x000002210943DF50>,CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3c(n2)[C@@](C)(CCO)OC3)cc1,mtor
CHEMBL1774355,<rdkit.Chem.rdchem.Mol object at 0x000002210943DFC0>,C[C@H]1COCCN1c1nc(-c2ccc(NC(=O)NCCO)cc2)nc2c1COC2(C)C,mtor
CHEMBL1774360,<rdkit.Chem.rdchem.Mol object at 0x000002210943E030>,C[C@H]1COCCN1c1nc(-c2ccc(Nc3cccc(=O)[nH]3)cc2)nc2c1COC2(C)C,mtor
CHEMBL1257716,<rdkit.Chem.rdchem.Mol object at 0x000002210943E0A0>,N#Cc1ccc(NC(=O)Nc2ccc(-c3nc(N4CCOCC4)nc(N4C5CCC4COC5)n3)cc2)cc1,mtor
